Pays,nom_standard,nom_sans_accent,nom_standard_majuscule,dep_code
Allemagne,Aach,Aach,AACH,0
Allemagne,Aach,Aach,AACH,0
Allemagne,Aachen,Aachen,AACHEN,0
Allemagne,Aalen,Aalen,AALEN,0
Allemagne,Aarbergen,Aarbergen,AARBERGEN,0
Allemagne,Aasbüttel,Aasbuttel,AASBÜTTEL,0
Allemagne,Abenberg,Abenberg,ABENBERG,0
Allemagne,Abensberg,Abensberg,ABENSBERG,0
Allemagne,Abentheuer,Abentheuer,ABENTHEUER,0
Allemagne,Absberg,Absberg,ABSBERG,0
Allemagne,Abstatt,Abstatt,ABSTATT,0
Allemagne,Abtsbessingen,Abtsbessingen,ABTSBESSINGEN,0
Allemagne,Abtsgmünd,Abtsgmund,ABTSGMÜND,0
Allemagne,Abtsteinach,Abtsteinach,ABTSTEINACH,0
Allemagne,Abtswind,Abtswind,ABTSWIND,0
Allemagne,Abtweiler,Abtweiler,ABTWEILER,0
Allemagne,Achberg,Achberg,ACHBERG,0
Allemagne,Achern,Achern,ACHERN,0
Allemagne,Achim,Achim,ACHIM,0
Allemagne,Achim,Achim,ACHIM,0
Allemagne,Achslach,Achslach,ACHSLACH,0
Allemagne,Achstetten,Achstetten,ACHSTETTEN,0
Allemagne,Acht,Acht,ACHT,0
Allemagne,Achtelsbach,Achtelsbach,ACHTELSBACH,0
Allemagne,Achterwehr,Achterwehr,ACHTERWEHR,0
Allemagne,Achtrup,Achtrup,ACHTRUP,0
Allemagne,Adelberg,Adelberg,ADELBERG,0
Allemagne,Adelebsen,Adelebsen,ADELEBSEN,0
Allemagne,Adelheidsdorf,Adelheidsdorf,ADELHEIDSDORF,0
Allemagne,Adelmannsfelden,Adelmannsfelden,ADELMANNSFELDEN,0
Allemagne,Adelschlag,Adelschlag,ADELSCHLAG,0
Allemagne,Adelsdorf,Adelsdorf,ADELSDORF,0
Allemagne,Adelsheim,Adelsheim,ADELSHEIM,0
Allemagne,Adelshofen,Adelshofen,ADELSHOFEN,0
Allemagne,Adelshofen,Adelshofen,ADELSHOFEN,0
Allemagne,Adelsried,Adelsried,ADELSRIED,0
Allemagne,Adelzhausen,Adelzhausen,ADELZHAUSEN,0
Allemagne,Adenau,Adenau,ADENAU,0
Allemagne,Adenbach,Adenbach,ADENBACH,0
Allemagne,Adenbüttel,Adenbuttel,ADENBÜTTEL,0
Allemagne,Adendorf,Adendorf,ADENDORF,0
Allemagne,Adenstedt,Adenstedt,ADENSTEDT,0
Allemagne,Adlkofen,Adlkofen,ADLKOFEN,0
Allemagne,Admannshagen-Bargeshagen,Admannshagen-Bargeshagen,ADMANNSHAGEN-BARGESHAGEN,0
Allemagne,Adorf/Vogtland,Adorf/Vogtland,ADORF/VOGTLAND,0
Allemagne,Aebtissinwisch,Aebtissinwisch,AEBTISSINWISCH,0
Allemagne,Aerzen,Aerzen,AERZEN,0
Allemagne,Affalterbach,Affalterbach,AFFALTERBACH,0
Allemagne,Affing,Affing,AFFING,0
Allemagne,Affinghausen,Affinghausen,AFFINGHAUSEN,0
Allemagne,Affler,Affler,AFFLER,0
Allemagne,Agathenburg,Agathenburg,AGATHENBURG,0
Allemagne,Agethorst,Agethorst,AGETHORST,0
Allemagne,Aglasterhausen,Aglasterhausen,AGLASTERHAUSEN,0
Allemagne,Aham,Aham,AHAM,0
Allemagne,Ahaus,Ahaus,AHAUS,0
Allemagne,Ahausen,Ahausen,AHAUSEN,0
Allemagne,Ahlbeck,Ahlbeck,AHLBECK,0
Allemagne,Ahlden (Aller),Ahlden (Aller),AHLDEN (ALLER),0
Allemagne,Ahlefeld-Bistensee,Ahlefeld-Bistensee,AHLEFELD-BISTENSEE,0
Allemagne,Ahlen,Ahlen,AHLEN,0
Allemagne,Ahlerstedt,Ahlerstedt,AHLERSTEDT,0
Allemagne,Ahlsdorf,Ahlsdorf,AHLSDORF,0
Allemagne,Ahlstädt,Ahlstadt,AHLSTÄDT,0
Allemagne,Ahnatal,Ahnatal,AHNATAL,0
Allemagne,Ahneby,Ahneby,AHNEBY,0
Allemagne,Ahnsbeck,Ahnsbeck,AHNSBECK,0
Allemagne,Ahnsen,Ahnsen,AHNSEN,0
Allemagne,Aholfing,Aholfing,AHOLFING,0
Allemagne,Aholming,Aholming,AHOLMING,0
Allemagne,Ahorn,Ahorn,AHORN,0
Allemagne,Ahorn,Ahorn,AHORN,0
Allemagne,Ahorntal,Ahorntal,AHORNTAL,0
Allemagne,Ahrbrück,Ahrbruck,AHRBRÜCK,0
Allemagne,Ahrensbök,Ahrensbok,AHRENSBÖK,0
Allemagne,Ahrensburg,Ahrensburg,AHRENSBURG,0
Allemagne,Ahrensfelde,Ahrensfelde,AHRENSFELDE,0
Allemagne,Ahrenshagen-Daskow,Ahrenshagen-Daskow,AHRENSHAGEN-DASKOW,0
Allemagne,Ahrenshöft,Ahrenshoft,AHRENSHÖFT,0
Allemagne,Ahrenshoop,Ahrenshoop,AHRENSHOOP,0
Allemagne,Ahrenviöl,Ahrenviol,AHRENVIÖL,0
Allemagne,Ahrenviölfeld,Ahrenviolfeld,AHRENVIÖLFELD,0
Allemagne,Aicha vorm Wald,Aicha vorm Wald,AICHA VORM WALD,0
Allemagne,Aichach,Aichach,AICHACH,0
Allemagne,Aichelberg,Aichelberg,AICHELBERG,0
Allemagne,Aichen,Aichen,AICHEN,0
Allemagne,Aichhalden,Aichhalden,AICHHALDEN,0
Allemagne,Aichstetten,Aichstetten,AICHSTETTEN,0
Allemagne,Aichtal,Aichtal,AICHTAL,0
Allemagne,Aichwald,Aichwald,AICHWALD,0
Allemagne,Aidenbach,Aidenbach,AIDENBACH,0
Allemagne,Aidhausen,Aidhausen,AIDHAUSEN,0
Allemagne,Aidlingen,Aidlingen,AIDLINGEN,0
Allemagne,Aiglsbach,Aiglsbach,AIGLSBACH,0
Allemagne,Ailertchen,Ailertchen,AILERTCHEN,0
Allemagne,Aindling,Aindling,AINDLING,0
Allemagne,Ainring,Ainring,AINRING,0
Allemagne,Aislingen,Aislingen,AISLINGEN,0
Allemagne,Aiterhofen,Aiterhofen,AITERHOFEN,0
Allemagne,Aitern,Aitern,AITERN,0
Allemagne,Aitrach,Aitrach,AITRACH,0
Allemagne,Aitrang,Aitrang,AITRANG,0
Allemagne,Aken (Elbe),Aken (Elbe),AKEN (ELBE),0
Allemagne,Aland,Aland,ALAND,0
Allemagne,Albaching,Albaching,ALBACHING,0
Allemagne,Albbruck,Albbruck,ALBBRUCK,0
Allemagne,Albersdorf,Albersdorf,ALBERSDORF,0
Allemagne,Albersdorf,Albersdorf,ALBERSDORF,0
Allemagne,Albershausen,Albershausen,ALBERSHAUSEN,0
Allemagne,Albersweiler,Albersweiler,ALBERSWEILER,0
Allemagne,Albertshofen,Albertshofen,ALBERTSHOFEN,0
Allemagne,Albessen,Albessen,ALBESSEN,0
Allemagne,Albig,Albig,ALBIG,0
Allemagne,Albisheim (Pfrimm),Albisheim (Pfrimm),ALBISHEIM (PFRIMM),0
Allemagne,Albsfelde,Albsfelde,ALBSFELDE,0
Allemagne,Albstadt,Albstadt,ALBSTADT,0
Allemagne,Aldenhoven,Aldenhoven,ALDENHOVEN,0
Allemagne,Aldersbach,Aldersbach,ALDERSBACH,0
Allemagne,Aldingen,Aldingen,ALDINGEN,0
Allemagne,Alerheim,Alerheim,ALERHEIM,0
Allemagne,Alesheim,Alesheim,ALESHEIM,0
Allemagne,Aletshausen,Aletshausen,ALETSHAUSEN,0
Allemagne,Alf,Alf,ALF,0
Allemagne,Alfdorf,Alfdorf,ALFDORF,0
Allemagne,Alfeld,Alfeld,ALFELD,0
Allemagne,Alfeld (Leine),Alfeld (Leine),ALFELD (LEINE),0
Allemagne,Alfhausen,Alfhausen,ALFHAUSEN,0
Allemagne,Alflen,Alflen,ALFLEN,0
Allemagne,Alfstedt,Alfstedt,ALFSTEDT,0
Allemagne,Alfter,Alfter,ALFTER,0
Allemagne,Algermissen,Algermissen,ALGERMISSEN,0
Allemagne,Alheim,Alheim,ALHEIM,0
Allemagne,Alken,Alken,ALKEN,0
Allemagne,Alkersleben,Alkersleben,ALKERSLEBEN,0
Allemagne,Alkersum,Alkersum,ALKERSUM,0
Allemagne,Allenbach,Allenbach,ALLENBACH,0
Allemagne,Allendorf,Allendorf,ALLENDORF,0
Allemagne,Allendorf,Allendorf,ALLENDORF,0
Allemagne,Allendorf (Eder),Allendorf (Eder),ALLENDORF (EDER),0
Allemagne,Allendorf (Lumda),Allendorf (Lumda),ALLENDORF (LUMDA),0
Allemagne,Allenfeld,Allenfeld,ALLENFELD,0
Allemagne,Allensbach,Allensbach,ALLENSBACH,0
Allemagne,Allersberg,Allersberg,ALLERSBERG,0
Allemagne,Allershausen,Allershausen,ALLERSHAUSEN,0
Allemagne,Alleshausen,Alleshausen,ALLESHAUSEN,0
Allemagne,Alling,Alling,ALLING,0
Allemagne,Allmannshofen,Allmannshofen,ALLMANNSHOFEN,0
Allemagne,Allmannsweiler,Allmannsweiler,ALLMANNSWEILER,0
Allemagne,Allmendingen,Allmendingen,ALLMENDINGEN,0
Allemagne,Allmersbach im Tal,Allmersbach im Tal,ALLMERSBACH IM TAL,0
Allemagne,Allrode,Allrode,ALLRODE,0
Allemagne,Allstedt,Allstedt,ALLSTEDT,0
Allemagne,Almdorf,Almdorf,ALMDORF,0
Allemagne,Almersbach,Almersbach,ALMERSBACH,0
Allemagne,Almstedt,Almstedt,ALMSTEDT,0
Allemagne,Alpen,Alpen,ALPEN,0
Allemagne,Alpenrod,Alpenrod,ALPENROD,0
Allemagne,Alperstedt,Alperstedt,ALPERSTEDT,0
Allemagne,Alpirsbach,Alpirsbach,ALPIRSBACH,0
Allemagne,Alsbach,Alsbach,ALSBACH,0
Allemagne,Alsbach-Hähnlein,Alsbach-Hahnlein,ALSBACH-HÄHNLEIN,0
Allemagne,Alsdorf,Alsdorf,ALSDORF,0
Allemagne,Alsdorf,Alsdorf,ALSDORF,0
Allemagne,Alsdorf,Alsdorf,ALSDORF,0
Allemagne,Alsenz,Alsenz,ALSENZ,0
Allemagne,Alsfeld,Alsfeld,ALSFELD,0
Allemagne,Alsheim,Alsheim,ALSHEIM,0
Allemagne,Alsleben (Saale),Alsleben (Saale),ALSLEBEN (SAALE),0
Allemagne,Alt Bennebek,Alt Bennebek,ALT BENNEBEK,0
Allemagne,Alt Bukow,Alt Bukow,ALT BUKOW,0
Allemagne,Alt Duvenstedt,Alt Duvenstedt,ALT DUVENSTEDT,0
Allemagne,Alt Krenzlin,Alt Krenzlin,ALT KRENZLIN,0
Allemagne,Alt Meteln,Alt Meteln,ALT METELN,0
