Pays,nom_standard,nom_sans_accent,nom_standard_majuscule,dep_code
France,L'Abergement-Clémenciat,l-abergement-clemenciat,L'ABERGEMENT-CLÉMENCIAT,01
France,L'Abergement-de-Varey,l-abergement-de-varey,L'ABERGEMENT-DE-VAREY,01
France,Ambérieu-en-Bugey,amberieu-en-bugey,AMBÉRIEU-EN-BUGEY,01
France,Ambérieux-en-Dombes,amberieux-en-dombes,AMBÉRIEUX-EN-DOMBES,01
France,Ambléon,ambleon,AMBLÉON,01
France,Ambronay,ambronay,AMBRONAY,01
France,Ambutrix,ambutrix,AMBUTRIX,01
France,Andert-et-Condon,andert-et-condon,ANDERT-ET-CONDON,01
France,Anglefort,anglefort,ANGLEFORT,01
France,Apremont,apremont,APREMONT,01
France,Aranc,aranc,ARANC,01
France,Arandas,arandas,ARANDAS,01
France,Arbent,arbent,ARBENT,01
France,Arboys en Bugey,arboys-en-bugey,ARBOYS EN BUGEY,01
France,Arbigny,arbigny,ARBIGNY,01
France,Argis,argis,ARGIS,01
France,Armix,armix,ARMIX,01
France,Ars-sur-Formans,ars-sur-formans,ARS-SUR-FORMANS,01
France,Artemare,artemare,ARTEMARE,01
France,Asnières-sur-Saône,asnieres-sur-saone,ASNIÈRES-SUR-SAÔNE,01
France,Attignat,attignat,ATTIGNAT,01
France,Bâgé-Dommartin,bage-dommartin,BÂGÉ-DOMMARTIN,01
France,Bâgé-le-Châtel,bage-le-chatel,BÂGÉ-LE-CHÂTEL,01
France,Balan,balan,BALAN,01
France,Baneins,baneins,BANEINS,01
France,Beaupont,beaupont,BEAUPONT,01
France,Beauregard,beauregard,BEAUREGARD,01
France,Bellignat,bellignat,BELLIGNAT,01
France,Béligneux,beligneux,BÉLIGNEUX,01
France,Valserhône,valserhone,VALSERHÔNE,01
France,Belley,belley,BELLEY,01
France,Belleydoux,belleydoux,BELLEYDOUX,01
France,Valromey-sur-Séran,valromey-sur-seran,VALROMEY-SUR-SÉRAN,01
France,Bénonces,benonces,BÉNONCES,01
France,Bény,beny,BÉNY,01
France,Béréziat,bereziat,BÉRÉZIAT,01
France,Bettant,bettant,BETTANT,01
France,Bey,bey,BEY,01
France,Beynost,beynost,BEYNOST,01
France,Billiat,billiat,BILLIAT,01
France,Birieux,birieux,BIRIEUX,01
France,Biziat,biziat,BIZIAT,01
France,Blyes,blyes,BLYES,01
France,La Boisse,la-boisse,LA BOISSE,01
France,Boissey,boissey,BOISSEY,01
France,Bolozon,bolozon,BOLOZON,01
France,Bouligneux,bouligneux,BOULIGNEUX,01
France,Bourg-en-Bresse,bourg-en-bresse,BOURG-EN-BRESSE,01
France,Bourg-Saint-Christophe,bourg-saint-christophe,BOURG-SAINT-CHRISTOPHE,01
France,Boyeux-Saint-Jérôme,boyeux-saint-jerome,BOYEUX-SAINT-JÉRÔME,01
France,Boz,boz,BOZ,01
France,Brégnier-Cordon,bregnier-cordon,BRÉGNIER-CORDON,01
France,Brénod,brenod,BRÉNOD,01
France,Brens,brens,BRENS,01
France,Bressolles,bressolles,BRESSOLLES,01
France,Brion,brion,BRION,01
France,Briord,briord,BRIORD,01
France,Buellas,buellas,BUELLAS,01
France,La Burbanche,la-burbanche,LA BURBANCHE,01
France,Ceignes,ceignes,CEIGNES,01
France,Cerdon,cerdon,CERDON,01
France,Certines,certines,CERTINES,01
France,Cessy,cessy,CESSY,01
France,Ceyzériat,ceyzeriat,CEYZÉRIAT,01
France,Ceyzérieu,ceyzerieu,CEYZÉRIEU,01
France,Chalamont,chalamont,CHALAMONT,01
France,Chaleins,chaleins,CHALEINS,01
France,Chaley,chaley,CHALEY,01
France,Challes-la-Montagne,challes-la-montagne,CHALLES-LA-MONTAGNE,01
France,Challex,challex,CHALLEX,01
France,Champagne-en-Valromey,champagne-en-valromey,CHAMPAGNE-EN-VALROMEY,01
France,Champdor-Corcelles,champdor-corcelles,CHAMPDOR-CORCELLES,01
France,Champfromier,champfromier,CHAMPFROMIER,01
France,Chanay,chanay,CHANAY,01
France,Chaneins,chaneins,CHANEINS,01
France,Chanoz-Châtenay,chanoz-chatenay,CHANOZ-CHÂTENAY,01
France,La Chapelle-du-Châtelard,la-chapelle-du-chatelard,LA CHAPELLE-DU-CHÂTELARD,01
France,Charix,charix,CHARIX,01
France,Charnoz-sur-Ain,charnoz-sur-ain,CHARNOZ-SUR-AIN,01
France,Château-Gaillard,chateau-gaillard,CHÂTEAU-GAILLARD,01
France,Châtenay,chatenay,CHÂTENAY,01
France,Châtillon-la-Palud,chatillon-la-palud,CHÂTILLON-LA-PALUD,01
France,Châtillon-sur-Chalaronne,chatillon-sur-chalaronne,CHÂTILLON-SUR-CHALARONNE,01
France,Chavannes-sur-Reyssouze,chavannes-sur-reyssouze,CHAVANNES-SUR-REYSSOUZE,01
France,Nivigne et Suran,nivigne-et-suran,NIVIGNE ET SURAN,01
France,Chaveyriat,chaveyriat,CHAVEYRIAT,01
France,Chazey-Bons,chazey-bons,CHAZEY-BONS,01
France,Chazey-sur-Ain,chazey-sur-ain,CHAZEY-SUR-AIN,01
France,Cheignieu-la-Balme,cheignieu-la-balme,CHEIGNIEU-LA-BALME,01
France,Chevillard,chevillard,CHEVILLARD,01
France,Chevroux,chevroux,CHEVROUX,01
France,Chevry,chevry,CHEVRY,01
France,Chézery-Forens,chezery-forens,CHÉZERY-FORENS,01
France,Civrieux,civrieux,CIVRIEUX,01
France,Cize,cize,CIZE,01
France,Cleyzieu,cleyzieu,CLEYZIEU,01
France,Coligny,coligny,COLIGNY,01
France,Collonges,collonges,COLLONGES,01
France,Colomieu,colomieu,COLOMIEU,01
France,Conand,conand,CONAND,01
France,Condamine,condamine,CONDAMINE,01
France,Condeissiat,condeissiat,CONDEISSIAT,01
France,Confort,confort,CONFORT,01
France,Confrançon,confrancon,CONFRANÇON,01
France,Contrevoz,contrevoz,CONTREVOZ,01
France,Conzieu,conzieu,CONZIEU,01
France,Corbonod,corbonod,CORBONOD,01
France,Corlier,corlier,CORLIER,01
France,Cormoranche-sur-Saône,cormoranche-sur-saone,CORMORANCHE-SUR-SAÔNE,01
France,Cormoz,cormoz,CORMOZ,01
France,Corveissiat,corveissiat,CORVEISSIAT,01
France,Courmangoux,courmangoux,COURMANGOUX,01
France,Courtes,courtes,COURTES,01
France,Crans,crans,CRANS,01
France,Bresse Vallons,bresse-vallons,BRESSE VALLONS,01
France,Cressin-Rochefort,cressin-rochefort,CRESSIN-ROCHEFORT,01
France,Crottet,crottet,CROTTET,01
France,Crozet,crozet,CROZET,01
France,Cruzilles-lès-Mépillat,cruzilles-les-mepillat,CRUZILLES-LÈS-MÉPILLAT,01
France,Culoz-Béon,culoz-beon,CULOZ-BÉON,01
France,Curciat-Dongalon,curciat-dongalon,CURCIAT-DONGALON,01
France,Curtafond,curtafond,CURTAFOND,01
France,Cuzieu,cuzieu,CUZIEU,01
France,Dagneux,dagneux,DAGNEUX,01
France,Divonne-les-Bains,divonne-les-bains,DIVONNE-LES-BAINS,01
France,Dompierre-sur-Veyle,dompierre-sur-veyle,DOMPIERRE-SUR-VEYLE,01
France,Dompierre-sur-Chalaronne,dompierre-sur-chalaronne,DOMPIERRE-SUR-CHALARONNE,01
France,Domsure,domsure,DOMSURE,01
France,Dortan,dortan,DORTAN,01
France,Douvres,douvres,DOUVRES,01
France,Drom,drom,DROM,01
France,Druillat,druillat,DRUILLAT,01
France,Échallon,echallon,ÉCHALLON,01
France,Échenevex,echenevex,ÉCHENEVEX,01
France,Évosges,evosges,ÉVOSGES,01
France,Faramans,faramans,FARAMANS,01
France,Fareins,fareins,FAREINS,01
France,Farges,farges,FARGES,01
France,Feillens,feillens,FEILLENS,01
France,Ferney-Voltaire,ferney-voltaire,FERNEY-VOLTAIRE,01
France,Flaxieu,flaxieu,FLAXIEU,01
France,Foissiat,foissiat,FOISSIAT,01
France,Francheleins,francheleins,FRANCHELEINS,01
France,Frans,frans,FRANS,01
France,Garnerans,garnerans,GARNERANS,01
France,Genouilleux,genouilleux,GENOUILLEUX,01
France,Béard-Géovreissiat,beard-geovreissiat,BÉARD-GÉOVREISSIAT,01
France,Géovreisset,geovreisset,GÉOVREISSET,01
France,Gex,gex,GEX,01
France,Giron,giron,GIRON,01
France,Gorrevod,gorrevod,GORREVOD,01
France,Grand-Corent,grand-corent,GRAND-CORENT,01
France,Grièges,grieges,GRIÈGES,01
France,Grilly,grilly,GRILLY,01
France,Groissiat,groissiat,GROISSIAT,01
France,Guéreins,guereins,GUÉREINS,01
France,Hautecourt-Romanèche,hautecourt-romaneche,HAUTECOURT-ROMANÈCHE,01
France,Plateau d'Hauteville,plateau-d-hauteville,PLATEAU D'HAUTEVILLE,01
France,Haut Valromey,haut-valromey,HAUT VALROMEY,01
France,Illiat,illiat,ILLIAT,01
France,Injoux-Génissiat,injoux-genissiat,INJOUX-GÉNISSIAT,01
France,Innimond,innimond,INNIMOND,01
France,Izenave,izenave,IZENAVE,01
France,Izernore,izernore,IZERNORE,01
France,Izieu,izieu,IZIEU,01
France,Jassans-Riottier,jassans-riottier,JASSANS-RIOTTIER,01
France,Jasseron,jasseron,JASSERON,01
France,Jayat,jayat,JAYAT,01
France,Journans,journans,JOURNANS,01
France,Joyeux,joyeux,JOYEUX,01
France,Jujurieux,jujurieux,JUJURIEUX,01
France,Labalme,labalme,LABALME,01
France,Lagnieu,lagnieu,LAGNIEU,01
France,Laiz,laiz,LAIZ,01
France,Le Poizat-Lalleyriat,le-poizat-lalleyriat,LE POIZAT-LALLEYRIAT,01
France,Lantenay,lantenay,LANTENAY,01
France,Lapeyrouse,lapeyrouse,LAPEYROUSE,01
France,Lavours,lavours,LAVOURS,01
France,Léaz,leaz,LÉAZ,01
France,Lélex,lelex,LÉLEX,01
France,Lent,lent,LENT,01
France,Lescheroux,lescheroux,LESCHEROUX,01
France,Leyment,leyment,LEYMENT,01
France,Leyssard,leyssard,LEYSSARD,01
France,Surjoux-Lhopital,surjoux-lhopital,SURJOUX-LHOPITAL,01
France,Lhuis,lhuis,LHUIS,01
France,Lompnas,lompnas,LOMPNAS,01
France,Loyettes,loyettes,LOYETTES,01
France,Lurcy,lurcy,LURCY,01
France,Magnieu,magnieu,MAGNIEU,01
France,Maillat,maillat,MAILLAT,01
France,Malafretaz,malafretaz,MALAFRETAZ,01
France,Mantenay-Montlin,mantenay-montlin,MANTENAY-MONTLIN,01
France,Manziat,manziat,MANZIAT,01
France,Marboz,marboz,MARBOZ,01
France,Marchamp,marchamp,MARCHAMP,01
France,Marignieu,marignieu,MARIGNIEU,01
France,Marlieux,marlieux,MARLIEUX,01
France,Marsonnas,marsonnas,MARSONNAS,01
France,Martignat,martignat,MARTIGNAT,01
France,Massieux,massieux,MASSIEUX,01
France,Massignieu-de-Rives,massignieu-de-rives,MASSIGNIEU-DE-RIVES,01
France,Matafelon-Granges,matafelon-granges,MATAFELON-GRANGES,01
France,Meillonnas,meillonnas,MEILLONNAS,01
France,Mérignat,merignat,MÉRIGNAT,01
France,Messimy-sur-Saône,messimy-sur-saone,MESSIMY-SUR-SAÔNE,01
France,Meximieux,meximieux,MEXIMIEUX,01
France,Bohas-Meyriat-Rignat,bohas-meyriat-rignat,BOHAS-MEYRIAT-RIGNAT,01
France,Mézériat,mezeriat,MÉZÉRIAT,01
France,Mijoux,mijoux,MIJOUX,01
France,Mionnay,mionnay,MIONNAY,01
France,Miribel,miribel,MIRIBEL,01
France,Misérieux,miserieux,MISÉRIEUX,01
France,Mogneneins,mogneneins,MOGNENEINS,01
France,Montagnat,montagnat,MONTAGNAT,01
France,Montagnieu,montagnieu,MONTAGNIEU,01
France,Montanges,montanges,MONTANGES,01
France,Montceaux,montceaux,MONTCEAUX,01
France,Montcet,montcet,MONTCET,01
France,Le Montellier,le-montellier,LE MONTELLIER,01
France,Monthieux,monthieux,MONTHIEUX,01
France,Montluel,montluel,MONTLUEL,01
France,Montmerle-sur-Saône,montmerle-sur-saone,MONTMERLE-SUR-SAÔNE,01
France,Montracol,montracol,MONTRACOL,01
