Pays,nom_standard,nom_sans_accent,nom_standard_majuscule,dep_code
Suisse,Aeugst am Albis,Aeugst am Albis,AEUGST AM ALBIS,101
Suisse,Affoltern am Albis,Affoltern am Albis,AFFOLTERN AM ALBIS,101
Suisse,Bonstetten,Bonstetten,BONSTETTEN,101
Suisse,Hausen am Albis,Hausen am Albis,HAUSEN AM ALBIS,101
Suisse,Hedingen,Hedingen,HEDINGEN,101
Suisse,Kappel am Albis,Kappel am Albis,KAPPEL AM ALBIS,101
Suisse,Knonau,Knonau,KNONAU,101
Suisse,Maschwanden,Maschwanden,MASCHWANDEN,101
Suisse,Mettmenstetten,Mettmenstetten,METTMENSTETTEN,101
Suisse,Obfelden,Obfelden,OBFELDEN,101
Suisse,Ottenbach,Ottenbach,OTTENBACH,101
Suisse,Rifferswil,Rifferswil,RIFFERSWIL,101
Suisse,Stallikon,Stallikon,STALLIKON,101
Suisse,Wettswil am Albis,Wettswil am Albis,WETTSWIL AM ALBIS,101
Suisse,Benken (ZH),Benken (ZH),BENKEN (ZH),102
Suisse,Berg am Irchel,Berg am Irchel,BERG AM IRCHEL,102
Suisse,Buch am Irchel,Buch am Irchel,BUCH AM IRCHEL,102
Suisse,Dachsen,Dachsen,DACHSEN,102
Suisse,Dorf,Dorf,DORF,102
Suisse,Feuerthalen,Feuerthalen,FEUERTHALEN,102
Suisse,Flaach,Flaach,FLAACH,102
Suisse,Flurlingen,Flurlingen,FLURLINGEN,102
Suisse,Henggart,Henggart,HENGGART,102
Suisse,Kleinandelfingen,Kleinandelfingen,KLEINANDELFINGEN,102
Suisse,Laufen-Uhwiesen,Laufen-Uhwiesen,LAUFEN-UHWIESEN,102
Suisse,Marthalen,Marthalen,MARTHALEN,102
Suisse,Ossingen,Ossingen,OSSINGEN,102
Suisse,Rheinau,Rheinau,RHEINAU,102
Suisse,Thalheim an der Thur,Thalheim an der Thur,THALHEIM AN DER THUR,102
Suisse,Trüllikon,Trullikon,TRÜLLIKON,102
Suisse,Truttikon,Truttikon,TRUTTIKON,102
Suisse,Volken,Volken,VOLKEN,102
Suisse,Bachenbülach,Bachenbulach,BACHENBÜLACH,103
Suisse,Bassersdorf,Bassersdorf,BASSERSDORF,103
Suisse,Bülach,Bulach,BÜLACH,103
Suisse,Dietlikon,Dietlikon,DIETLIKON,103
Suisse,Eglisau,Eglisau,EGLISAU,103
Suisse,Embrach,Embrach,EMBRACH,103
Suisse,Freienstein-Teufen,Freienstein-Teufen,FREIENSTEIN-TEUFEN,103
Suisse,Glattfelden,Glattfelden,GLATTFELDEN,103
Suisse,Hochfelden,Hochfelden,HOCHFELDEN,103
Suisse,Höri,Hori,HÖRI,103
Suisse,Hüntwangen,Huntwangen,HÜNTWANGEN,103
Suisse,Kloten,Kloten,KLOTEN,103
Suisse,Lufingen,Lufingen,LUFINGEN,103
Suisse,Nürensdorf,Nurensdorf,NÜRENSDORF,103
Suisse,Oberembrach,Oberembrach,OBEREMBRACH,103
Suisse,Opfikon,Opfikon,OPFIKON,103
Suisse,Rafz,Rafz,RAFZ,103
Suisse,Rorbas,Rorbas,RORBAS,103
Suisse,Wallisellen,Wallisellen,WALLISELLEN,103
Suisse,Wasterkingen,Wasterkingen,WASTERKINGEN,103
Suisse,Wil (ZH),Wil (ZH),WIL (ZH),103
Suisse,Winkel,Winkel,WINKEL,103
Suisse,Bachs,Bachs,BACHS,104
Suisse,Boppelsen,Boppelsen,BOPPELSEN,104
Suisse,Buchs (ZH),Buchs (ZH),BUCHS (ZH),104
Suisse,Dällikon,Dallikon,DÄLLIKON,104
Suisse,Dänikon,Danikon,DÄNIKON,104
Suisse,Dielsdorf,Dielsdorf,DIELSDORF,104
Suisse,Hüttikon,Huttikon,HÜTTIKON,104
Suisse,Neerach,Neerach,NEERACH,104
Suisse,Niederglatt,Niederglatt,NIEDERGLATT,104
Suisse,Niederhasli,Niederhasli,NIEDERHASLI,104
Suisse,Niederweningen,Niederweningen,NIEDERWENINGEN,104
Suisse,Oberglatt,Oberglatt,OBERGLATT,104
Suisse,Oberweningen,Oberweningen,OBERWENINGEN,104
Suisse,Otelfingen,Otelfingen,OTELFINGEN,104
Suisse,Regensberg,Regensberg,REGENSBERG,104
Suisse,Regensdorf,Regensdorf,REGENSDORF,104
Suisse,Rümlang,Rumlang,RÜMLANG,104
Suisse,Schleinikon,Schleinikon,SCHLEINIKON,104
Suisse,Schöfflisdorf,Schofflisdorf,SCHÖFFLISDORF,104
Suisse,Stadel,Stadel,STADEL,104
Suisse,Steinmaur,Steinmaur,STEINMAUR,104
Suisse,Weiach,Weiach,WEIACH,104
Suisse,Bäretswil,Baretswil,BÄRETSWIL,105
Suisse,Bubikon,Bubikon,BUBIKON,105
Suisse,Dürnten,Durnten,DÜRNTEN,105
Suisse,Fischenthal,Fischenthal,FISCHENTHAL,105
Suisse,Gossau (ZH),Gossau (ZH),GOSSAU (ZH),105
Suisse,Grüningen,Gruningen,GRÜNINGEN,105
Suisse,Hinwil,Hinwil,HINWIL,105
Suisse,Rüti (ZH),Ruti (ZH),RÜTI (ZH),105
Suisse,Seegräben,Seegraben,SEEGRÄBEN,105
Suisse,Wald (ZH),Wald (ZH),WALD (ZH),105
Suisse,Wetzikon (ZH),Wetzikon (ZH),WETZIKON (ZH),105
Suisse,Adliswil,Adliswil,ADLISWIL,106
Suisse,Kilchberg (ZH),Kilchberg (ZH),KILCHBERG (ZH),106
Suisse,Langnau am Albis,Langnau am Albis,LANGNAU AM ALBIS,106
Suisse,Oberrieden,Oberrieden,OBERRIEDEN,106
Suisse,Richterswil,Richterswil,RICHTERSWIL,106
Suisse,Rüschlikon,Ruschlikon,RÜSCHLIKON,106
Suisse,Thalwil,Thalwil,THALWIL,106
Suisse,Erlenbach (ZH),Erlenbach (ZH),ERLENBACH (ZH),107
Suisse,Herrliberg,Herrliberg,HERRLIBERG,107
Suisse,Hombrechtikon,Hombrechtikon,HOMBRECHTIKON,107
Suisse,Küsnacht (ZH),Kusnacht (ZH),KÜSNACHT (ZH),107
Suisse,Männedorf,Mannedorf,MÄNNEDORF,107
Suisse,Meilen,Meilen,MEILEN,107
Suisse,Oetwil am See,Oetwil am See,OETWIL AM SEE,107
Suisse,Stäfa,Stafa,STÄFA,107
Suisse,Uetikon am See,Uetikon am See,UETIKON AM SEE,107
Suisse,Zumikon,Zumikon,ZUMIKON,107
Suisse,Zollikon,Zollikon,ZOLLIKON,107
Suisse,Fehraltorf,Fehraltorf,FEHRALTORF,108
Suisse,Hittnau,Hittnau,HITTNAU,108
Suisse,Lindau,Lindau,LINDAU,108
Suisse,Pfäffikon,Pfaffikon,PFÄFFIKON,108
Suisse,Russikon,Russikon,RUSSIKON,108
Suisse,Weisslingen,Weisslingen,WEISSLINGEN,108
Suisse,Wila,Wila,WILA,108
Suisse,Wildberg,Wildberg,WILDBERG,108
Suisse,Dübendorf,Dubendorf,DÜBENDORF,109
Suisse,Egg,Egg,EGG,109
Suisse,Fällanden,Fallanden,FÄLLANDEN,109
Suisse,Greifensee,Greifensee,GREIFENSEE,109
Suisse,Maur,Maur,MAUR,109
Suisse,Mönchaltorf,Monchaltorf,MÖNCHALTORF,109
Suisse,Schwerzenbach,Schwerzenbach,SCHWERZENBACH,109
Suisse,Uster,Uster,USTER,109
Suisse,Volketswil,Volketswil,VOLKETSWIL,109
Suisse,Wangen-Brüttisellen,Wangen-Bruttisellen,WANGEN-BRÜTTISELLEN,109
Suisse,Altikon,Altikon,ALTIKON,110
Suisse,Brütten,Brutten,BRÜTTEN,110
Suisse,Dägerlen,Dagerlen,DÄGERLEN,110
Suisse,Dättlikon,Dattlikon,DÄTTLIKON,110
Suisse,Dinhard,Dinhard,DINHARD,110
Suisse,Ellikon an der Thur,Ellikon an der Thur,ELLIKON AN DER THUR,110
Suisse,Elsau,Elsau,ELSAU,110
Suisse,Hagenbuch,Hagenbuch,HAGENBUCH,110
Suisse,Hettlingen,Hettlingen,HETTLINGEN,110
Suisse,Neftenbach,Neftenbach,NEFTENBACH,110
Suisse,Pfungen,Pfungen,PFUNGEN,110
Suisse,Rickenbach (ZH),Rickenbach (ZH),RICKENBACH (ZH),110
Suisse,Schlatt (ZH),Schlatt (ZH),SCHLATT (ZH),110
Suisse,Seuzach,Seuzach,SEUZACH,110
Suisse,Turbenthal,Turbenthal,TURBENTHAL,110
Suisse,Winterthur,Winterthur,WINTERTHUR,110
Suisse,Zell (ZH),Zell (ZH),ZELL (ZH),110
Suisse,Aesch (ZH),Aesch (ZH),AESCH (ZH),111
Suisse,Birmensdorf (ZH),Birmensdorf (ZH),BIRMENSDORF (ZH),111
Suisse,Dietikon,Dietikon,DIETIKON,111
Suisse,Geroldswil,Geroldswil,GEROLDSWIL,111
Suisse,Oberengstringen,Oberengstringen,OBERENGSTRINGEN,111
Suisse,Oetwil an der Limmat,Oetwil an der Limmat,OETWIL AN DER LIMMAT,111
Suisse,Schlieren,Schlieren,SCHLIEREN,111
Suisse,Uitikon,Uitikon,UITIKON,111
Suisse,Unterengstringen,Unterengstringen,UNTERENGSTRINGEN,111
Suisse,Urdorf,Urdorf,URDORF,111
Suisse,Weiningen (ZH),Weiningen (ZH),WEININGEN (ZH),111
Suisse,Zürich,Zurich,ZÜRICH,112
Suisse,Andelfingen,Andelfingen,ANDELFINGEN,102
Suisse,Stammheim,Stammheim,STAMMHEIM,102
Suisse,Wädenswil,Wadenswil,WÄDENSWIL,106
Suisse,Elgg,Elgg,ELGG,110
Suisse,Horgen,Horgen,HORGEN,106
Suisse,Illnau-Effretikon,Illnau-Effretikon,ILLNAU-EFFRETIKON,108
Suisse,Bauma,Bauma,BAUMA,108
Suisse,Wiesendangen,Wiesendangen,WIESENDANGEN,110
Suisse,Aarberg,Aarberg,AARBERG,243
Suisse,Bargen (BE),Bargen (BE),BARGEN (BE),243
Suisse,Grossaffoltern,Grossaffoltern,GROSSAFFOLTERN,243
Suisse,Kallnach,Kallnach,KALLNACH,243
Suisse,Kappelen,Kappelen,KAPPELEN,243
Suisse,Lyss,Lyss,LYSS,243
Suisse,Meikirch,Meikirch,MEIKIRCH,246
Suisse,Radelfingen,Radelfingen,RADELFINGEN,243
Suisse,Rapperswil (BE),Rapperswil (BE),RAPPERSWIL (BE),243
Suisse,Schüpfen,Schupfen,SCHÜPFEN,243
